2023-01-03 21:40:26 upgrade base-passwd:amd64 3.5.52build1 3.5.52build1
2023-01-03 21:40:26 status half-configured base-passwd:amd64 3.5.52build1
2023-01-03 21:40:26 status unpacked base-passwd:amd64 3.5.52build1
2023-01-03 21:40:26 status half-installed base-passwd:amd64 3.5.52build1
2023-01-03 21:40:26 status unpacked base-passwd:amd64 3.5.52build1
2023-01-03 21:40:26 install bash:amd64 <none> 5.1-6ubuntu1
2023-01-03 21:40:26 status half-installed bash:amd64 5.1-6ubuntu1
2023-01-03 21:40:26 status unpacked bash:amd64 5.1-6ubuntu1
2023-01-03 21:40:26 install bsdutils:amd64 <none> 1:2.37.2-4ubuntu3
2023-01-03 21:40:26 status half-installed bsdutils:amd64 1:2.37.2-4ubuntu3
2023-01-03 21:40:26 status unpacked bsdutils:amd64 1:2.37.2-4ubuntu3
2023-01-03 21:40:26 install coreutils:amd64 <none> 8.32-4.1ubuntu1
2023-01-03 21:40:26 status half-installed coreutils:amd64 8.32-4.1ubuntu1
2023-01-03 21:40:26 status unpacked coreutils:amd64 8.32-4.1ubuntu1
2023-01-03 21:40:26 install dash:amd64 <none> 0.5.11+git20210903+057cd650a4ed-3build1
2023-01-03 21:40:26 status half-installed dash:amd64 0.5.11+git20210903+057cd650a4ed-3build1
2023-01-03 21:40:26 status unpacked dash:amd64 0.5.11+git20210903+057cd650a4ed-3build1
2023-01-03 21:40:26 upgrade debconf:all 1.5.79ubuntu1 1.5.79ubuntu1
2023-01-03 21:40:26 status half-configured debconf:all 1.5.79ubuntu1
2023-01-03 21:40:26 status unpacked debconf:all 1.5.79ubuntu1
2023-01-03 21:40:26 status half-installed debconf:all 1.5.79ubuntu1
2023-01-03 21:40:26 status unpacked debconf:all 1.5.79ubuntu1
2023-01-03 21:40:26 install debianutils:amd64 <none> 5.5-1ubuntu2
2023-01-03 21:40:26 status half-installed debianutils:amd64 5.5-1ubuntu2
2023-01-03 21:40:26 status unpacked debianutils:amd64 5.5-1ubuntu2
2023-01-03 21:40:26 install diffutils:amd64 <none> 1:3.8-0ubuntu2
2023-01-03 21:40:26 status half-installed diffutils:amd64 1:3.8-0ubuntu2
2023-01-03 21:40:26 status unpacked diffutils:amd64 1:3.8-0ubuntu2
